what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332890619755
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890619756
opened,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890629962
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890629980
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332890631896
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890631896
opened,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890633554
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890633576
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332890635558
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890635558
opened,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890638966
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890638985
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332890652048
closed,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890652048
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1332890653553
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332890654888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332890663511
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332890663899
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332890664148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332890664151
opened,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890666362
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332890666379
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332890669722
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332890675918
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332890677459
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332890691762
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332890998259
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332891009604
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891010487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891017233
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891018713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332891031510
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332891032590
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1332891034076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332891039789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332891061216
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891067894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891075583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332891079642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891161888
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891178439
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891229052
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891229131
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891233297
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891389712
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332891389729
opened,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891389903
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891389936
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891408550
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891414131
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1332891416881
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332891421534
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891474674
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891479562
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1332891490186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891512442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891521501
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891560385
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891573749
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1332891633490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891634471
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891642762
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891643849
activated,editor,org.eclipse.wst.html.ui,1.0.601.v201108152113,"org.eclipse.wst.html.core.htmlsource.source",1332891680966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1332891689347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891786735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891786982
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332891789502
